Coach Rank,FirstName,LastName,Mascot
61,Mark,Few,Bulldogs
40,Tommy,Lloyd,Wildcats
20,Bill,Self,Jayhawks
10,Matt,Painter,Boilermakers
59,Mick,Cronin,Bruins
49,Rick,Barnes,Volunteers
38,John,Calipari,Wildcats
57,Mark,Adams,Red Raiders
66,Scott,Drew,Bears
28,Jay,Wright,Wildcats
27,Mike,Krzyzewski,Blue Devils
46,Eric,Musselman,Razorbacks
22,Fran,McCaffery,Hawkeyes
51,Randy,Bennett,Gaels
48,Kelvin,Sampson,Cougars
31,Brad,Underwood,Fighting Illini
68,Bruce,Pearl,Tigers
9,Dan,Hurley,Huskies
67,Leon,Rice,Broncos
1,Penny,Hardaway,Tigers
64,Chris,Beard,Longhorns
18,Greg,McDermott,Bluejays
62,Greg,Gard,Badgers
34,Matt,McMahon,Racers
63,Brian,Dutcher,Aztecs
17,Drew,Valentine,Ramblers
43,Tom,Izzo,Spartans
4,Hubert,Davis,Tar Heels
52,Mike,Young,Hokies
24,Todd,Golden,Dons
3,Mike,Woodson,Hoosiers
65,Niko,Medved,Rams
30,Andy,Enfield,Trojans
35,Kevin,Willard,Pirates
2,Juwan,Howard,Wolverines
19,Steve,Pikiell,Scarlet Knights
47,Nate,Oats,Crimson Tide
36,Chris,Holtmann,Buckeyes
32,Eric,Henderson,Jackrabbits
44,Ed,Cooley,Friars
58,Kevin,Nickelberry,Tigers
12,Bob,McKillop,Wildcats
8,Jamie,Dixon,Horned Frogs
7,Jim,Larranaga,Hurricanes
6,Andy,Kennedy,Blazers
60,John,Becker,Catamounts
25,Mike,Brey,Fighting Irish
42,Jeff,Linder,Cowboys
11,Matt,Langel,Raiders
41,Shaka,Smart,Golden Eagles
55,T.J.,Otzelberger,Cyclones
33,Chris,Jans,Aggies
50,Lamont,Paris,Mocs
13,Chris,Mooney,Spiders
54,John,Groce,Zips
16,Danny,Sprinkle,Bobcats
5,Shaheen,Holloway,Peacocks
56,Griff,Aldrich,Lancers
45,James,Jones,Bulldogs
26,Ray,Harper,Gamecocks
14,Martin,Ingelsby,Blue Hens
29,Scott,Nagy,Raiders
39,Robert,Jones,Spartans
37,Dedrique,Taylor,Titans
21,Rob,Lanier,Panthers
23,Jared,Grasso,Bulldogs
15,Johnny,Jones,Tigers
53,Steve,Lutz,Islanders
