,Team Rank,Team
0,1, Gonzaga:
1,2, Arizona:
2,3, Kansas:
3,4, Purdue:
4,5, UCLA:
5,6, Tennessee:
6,7, Kentucky:
7,8, Texas Tech:
8,9, Baylor:
9,10, Villanova:
10,11, Duke:
11,12, Arkansas:
12,13, Iowa:
13,14, Saint Mary’s:
14,15, Houston:
15,16, Illinois:
16,17, Auburn:
17,18, Connecticut:
18,19, Boise State:
19,20, Memphis:
20,21, Texas:
21,22, Creighton:
22,23, Wisconsin:
23,24, Murray State:
24,25, San Diego State:
25,26, Loyola Chicago:
26,27, Michigan State:
27,28, North Carolina:
28,29, Virginia Tech:
29,30, San Francisco:
30,31, Indiana:
31,32, Colorado State:
32,33, USC:
33,34, Seton Hall:
34,35, Michigan:
35,36, Rutgers:
36,37, Alabama:
37,38, Ohio State:
38,39, South Dakota State:
39,40, Providence:
40,41, LSU:
41,42, Davidson:
42,43, TCU:
43,44, Miami:
44,45, UAB:
45,46, Vermont:
46,47, Notre Dame:
47,48, Wyoming:
48,49, Colgate:
49,50, Marquette:
50,51, Iowa State:
51,52, New Mexico State:
52,53, Chattanooga:
53,54, Richmond:
54,55, Akron:
55,56, Montana State:
56,57, Saint Peter’s:
57,58, Longwood:
58,59, Yale:
59,60, Jacksonville State:
60,61, Delaware:
61,62, Wright State:
62,63, Norfolk State:
63,64, Cal State–Fullerton:
64,65, Georgia State:
65,66, Bryant:
66,67, Texas Southern:
67,68, Texas A&M–Corpus Christi:
